"station" "Data_log" "Latitude" "Longitude" "Height_bot" "Wat_dep" "Data_beg_t" "Data_end_t" "country" "Stat_name" "Log_type" "station_o"
"20" "TUT_1" 59.77147 24.837 2.95 72.3 "20140101000020" "20140205085900" "Estonia" "Tallinn" "SM2M" "ID020"
"20" "TUT_2" 59.771848 24.839142 2.8 76.6 "20140205110020" "20140430055900" "Estonia" "Tallinn" "SM2M" "ID020"
"20" "TUT_1" 59.77191 24.840833 2.77 76.6 "20140430080020" "20140812173000" "Estonia" "Tallinn" "SM2M" "ID020"
"20" "TUT_5" 59.770803 24.841388 2.85 73.8 "20140812190020" "20141102135800" "Estonia" "Tallinn" "SM2M" "ID020"
"20" "TUT_1" 59.771672 24.837287 3 72.3 "20141119150020" "20141231235900" "Estonia" "Tallinn" "SM2M" "ID020"
"21" "TUT_3" 59.444133 23.720867 3 89 "20140101000020" "20140205135900" "Estonia" "Paldiski" "SM2M" "ID021"
"21" "TUT_1" 59.442567 23.729217 2.8 90 "20140205160020" "20140430012000" "Estonia" "Paldiski" "SM2M" "ID021"
"21" "TUT_5" 59.441015 23.728103 2.9 89 "20140430030020" "20140810233000" "Estonia" "Paldiski" "SM2M" "ID021"
"21" "TUT_3" 59.440483 23.729743 2.85 88.8 "20140812140020" "20141119183000" "Estonia" "Paldiski" "SM2M" "ID021"
"21" "TUT_5" 59.440228 23.729762 3 88.5 "20141119200020" "20141231233000" "Estonia" "Paldiski" "SM2M" "ID021"
"22" "TUT_4" 59.15005 21.991183 2.95 72.3 "20140101000020" "20140206145900" "Estonia" "Hiiumaa" "SM2M" "ID022"
"22" "TUT_5" 59.150567 21.9911 3 68 "20140206160020" "20140429132000" "Estonia" "Hiiumaa" "SM2M" "ID022"
"22" "TUT_3" 59.14952 21.98922 3 68 "20140429150020" "20140808233000" "Estonia" "Hiiumaa" "SM2M" "ID022"
"22" "TUT_4" 59.150303 21.989773 2.85 72 "20140812070020" "20141120033000" "Estonia" "Hiiumaa" "SM2M" "ID022"
"22" "TUT_3" 59.148735 21.99063 3 69 "20141120050020" "20141231233000" "Estonia" "Hiiumaa" "SM2M" "ID022"
"23" "TUT_5" 57.971317 20.999733 3 88.5 "20140101000020" "20140206055900" "Estonia" "Saaremaa" "SM2M" "ID023"
"23" "TUT_3" 57.969483 20.998617 3 88.8 "20140206060020" "20140428192000" "Estonia" "Saaremaa" "SM2M" "ID023"
"23" "TUT_4" 57.96815 21.00723 3 86.3 "20140428210020" "20140812042000" "Estonia" "Saaremaa" "SM2M" "ID023"
"23" "TUT_2" 57.968275 21.004767 2.95 89 "20140811210020" "20141107093000" "Estonia" "Saaremaa" "SM2M" "ID023"
"23" "TUT_4" 57.968577 21.002947 3 88.1 "20141120180020" "20141231233000" "Estonia" "Saaremaa" "SM2M" "ID023"
